COc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169799293
CC(C)(C)OC(=O)Oc1cccc(B(O)O)c1 ZINC000169806761
CCCCCOc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O ZINC000169806801
OB(O)c1cccc(OC(F)(F)F)c1F ZINC000169806853
COc1cccc(B(O)O)c1C ZINC000169807356
COc1cccc(COc2cccc(B(O)O)c2)c1 ZINC000169807361
COc1cccc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169807764
COCCOc1cccc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169807798
CC(=O)Oc1cccc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169807861
CC(C)(C)OC(=O)Oc1cccc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169807884
OB(O)c1cccc2c1OC(F)(F)O2 ZINC000169807953
COCCOc1cc(B2OC(C)(C)C(C)(C)O2)ccc1C#N ZINC000169808864
CC1(C)OB(c2ccc(C#N)c(OCc3ccccc3)c2)OC1(C)C ZINC000169808866
CCCOc1cc(B2OC(C)(C)C(C)(C)O2)ccc1C#N ZINC000169808902
COc1cccc(B2OC(=O)CN(C)CC(=O)O2)c1 ZINC000169810135
COc1cc(B(O)O)ccc1NC(=O)OC(C)(C)C ZINC000169839162
COC(COc1cccc(B(O)O)c1)OC ZINC000169844669
OB(O)c1ccc(Cl)c(OCc2ccccc2)c1 ZINC000169844707
COc1cccc(B(O)O)c1C(=O)N(C(C)C)C(C)C ZINC000169852315
CC(C)COc1cccc(B(O)O)c1 ZINC000169856064
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1NC(=O)OC(C)(C)C ZINC000169856442
COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OCc1ccccc1 ZINC000169856449
OB(O)c1cccc(OCc2ccccc2Cl)c1 ZINC000169877120
COc1cc(COc2cccc(B(O)O)c2)cc(OC)c1 ZINC000169877123
OB(O)c1cccc(OCc2cccc(Cl)c2)c1 ZINC000169877185
OB(O)c1cccc(OCc2ccc(Cl)cc2)c1 ZINC000169877241
OB(O)c1cccc(OCc2ccccc2F)c1 ZINC000169877274
CCCOc1cc(Br)cc(B(O)O)c1 ZINC000169877331
CCOc1ccc(B(O)O)cc1OCC ZINC000169888208
OB(O)c1cccc(OC(F)(F)F)c1Br ZINC000169901949
COc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169902037
OB(O)c1cccc(OCc2cccc(F)c2)c1 ZINC000169903633
COc1ccc(COc2cccc(B(O)O)c2)cc1 ZINC000169903708
